ID,term,country,actRating,affRating,emoRating,negRating,concern,EPI,CRI,GDP
1,emergency,AUS,-0.32396024,0.36684011,-0.31459212,0.02139706,-0.04964097,1.19362739,-0.66952070,0.09863501
1,warming,BLR,-0.32396024,-0.30486736,-0.31459212,0.02139706,-0.80036932,-0.26665108,1.28044028,-0.36364578
1,emergency,EST,-0.47500748,-0.40082557,-0.44493213,-0.00901573,-1.50304716,0.55350532,0.61314255,-0.37765685
1,crisis,GEO,-0.32396024,-0.30486736,-0.31459212,0.02139706,-0.40608214,-1.04679985,0.84245771,-0.38219119
1,warming,GER,-0.35416969,-0.43281164,-0.44493213,-0.13066687,-1.44420561,1.34698997,-1.78543773,0.91124270
1,warming,HKG,-0.32396024,-0.30486736,-0.31459212,0.02139706,,,,-0.26665496
1,warming,HRV,-0.26354135,-0.40082557,-0.37976213,-0.06984130,,0.40681068,1.17094464,-0.36862303
1,warming,IRL,-0.32396024,-0.30486736,-0.31459212,0.02139706,-1.09026487,1.05360069,0.17515997,-0.26618895
1,warming,ITA,-0.65626416,-0.68870020,-0.86853717,-0.40438194,1.01171489,0.93357780,-1.16475386,0.28807907
1,emergency,JPN,-0.47500748,-0.49678378,-0.44493213,-0.06984130,-0.37655116,1.20696327,-2.04603736,1.16080249
1,crisis,KOR,-0.35416969,-0.46479771,-0.44493213,-0.06984130,0.32782907,0.63352058,0.17515997,0.18894135
1,emergency,MEX,-0.41458858,-0.36883950,-0.41234713,-0.19149244,1.19398325,-0.29332283,-1.03961598,0.05095968
1,change,NLD,-0.50521692,-0.52876985,-0.47751714,-0.06984130,-1.22840823,1.22029915,-0.11672413,-0.08387069
1,change,PAK,-0.32396024,-0.30486736,-0.31459212,0.02139706,-0.84315466,-1.59357078,0.52961301,
1,change,RUS,-0.41458858,-0.49678378,-0.47751714,0.08222263,-1.19597774,-0.43334953,0.14387550,0.13541438
1,warming,SLV,-0.65626416,-0.75267234,-0.57527214,-0.43479472,1.23609903,-0.92677696,-0.83126141,-0.37876119
1,crisis,SVN,-0.32396024,-0.40082557,-0.47751714,-0.13066687,,1.00025718,-0.40892107,-0.37043398
1,change,SWE,-0.32396024,-0.30486736,-0.31459212,0.02139706,-1.20766731,1.44700905,0.56621584,-0.19845096
1,change,UAE,-0.32396024,-0.30486736,-0.31459212,0.02139706,,-0.09328468,1.69245674,-0.25059731
1,emergency,VEN,-0.41458858,-0.36883950,-0.44493213,-0.16107965,1.53291773,-0.44668541,1.04080124,-0.34997890
2,emergency,BLR,0.49169483,-1.26444946,0.72812795,0.50800162,-0.80036932,-0.26665108,1.28044028,-0.36364578
2,emergency,CAN,0.00834368,1.29443613,0.63037294,1.29873404,0.03779476,0.93357780,-1.53516198,0.23712979
2,warming,CRI,0.00834368,0.30286797,-1.09663218,-0.16107965,1.37974763,-0.29999077,0.43075409,-0.36724133
2,emergency,ESP,0.52190428,0.27088190,0.40227793,-0.49562029,0.02339020,1.15361976,-0.72677128,0.07826180
2,crisis,HKG,0.31043815,0.39882618,0.46744793,0.78171669,,,,-0.26665496
2,emergency,HKG,0.12918147,0.36684011,0.27193792,-0.64768422,,,,-0.26665496
2,crisis,HRV,0.37085704,0.49478439,0.43486293,0.81212947,,0.40681068,1.17094464,-0.36862303
2,change,IDN,0.06876257,-0.78465841,-1.12921718,0.75130390,0.34672202,-1.28017769,-0.08543966,-0.02336681
2,change,IND,0.49169483,-1.07253304,-0.90112217,0.59923998,0.30260354,-1.96030738,-1.64966313,0.60856567
2,emergency,MDA,0.31043815,-1.04054697,-1.25955719,0.78171669,0.73906119,-0.84009376,1.69245674,-0.38493927
2,warming,MDA,-1.32087200,-0.81664448,-1.22697219,-0.49562029,0.73906119,-0.84009376,1.69245674,-0.38493927
2,change,MYS,-1.47191923,0.59074260,0.50003294,1.02501897,-1.13958690,-0.60671593,0.43575960,-0.24418112
2,warming,PAN,-1.29066255,0.62272867,0.53261794,-0.55644586,1.25010500,-0.64672356,0.38883290,-0.36750988
2,warming,PHL,0.61253262,-1.00856090,0.50003294,0.81212947,0.58988424,-1.24017006,-1.86865442,-0.25019506
2,emergency,RUS,0.21980981,0.39882618,0.17418291,-0.70850979,-1.19597774,-0.43334953,0.14387550,0.13541438
2,crisis,SWE,0.85420820,0.55875653,0.50003294,-0.73892257,-1.20766731,1.44700905,0.56621584,-0.19845096
2,warming,UAE,0.79378930,-1.23246339,0.59778794,1.54203632,,-0.09328468,1.69245674,-0.25059731
2,change,URY,0.31043815,0.94258937,0.69554295,0.41676326,1.09158160,-0.52670067,-1.10218492,-0.36750937
2,warming,VEN,0.91462709,-1.42437981,-0.96629217,1.26832125,1.53291773,-0.44668541,1.04080124,-0.34997890
2,warming,ZAF,0.40106649,-0.94458876,0.17418291,-0.34355637,-1.41684513,-0.92677696,-0.54970119,-0.26200575
3,change,AZR,-0.26354135,-0.24089522,-0.24942212,0.08222263,,-0.70006706,1.69245674,-0.36564035
3,crisis,BEL,-0.26354135,-0.24089522,0.07642790,0.14304820,-0.46857763,1.08694038,0.34190619,-0.20947469
3,warming,GEO,-1.07919642,0.27088190,0.10901291,-1.01263764,-0.40608214,-1.04679985,0.84245771,-0.38219119
3,emergency,HRV,-0.26354135,-0.20890915,-0.18425212,0.32552491,,0.40681068,1.17094464,-0.36862303
