StartDate,EndDate,Status,Duration (in seconds),ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,consent,age,education,gender,attn.screener,open.1,open.2,climate.concern_1,fuel_10,transit_10,vehicle_10,energy_10,air_10,land_10,jobs_10,water_10,food_10,slider.attn_10,beh.e.vehicle_1,beh.energy_1,beh.flight_1,beh.no.car_1,race,pol.id_1,income,zipcode,feedback,climateLink1,climateLink2,climateLink3,climateLink4,c,qual.text.check
Start Date,End Date,Response Type,Duration (in seconds),Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Online Consent Form for IRB-FY2022-6784.


You have been invited to take part in a research study to learn more about how people learn information using Google Image Search. This study will be conducted by Madalina Vlasceanu, GSAS - Graduate School of Arts and Science (GSAS), Arts & Science, New York University.



If you agree to be in this study, you will be asked to do the following:

	Read information presented to you in the form of a news article, information on recent events, or other text and image based information.
	Complete a questionnaire assessing your judgments on specific topics. 
	Complete demographic questions.

Participation in this study will take about 6 minutes and you will receive compensation in the amount that you have agreed to with the platform through which you entered this survey.



There are no known risks associated with your participation in this research beyond those of everyday life. Although you will receive no direct benefits, this research may help the investigator understand how people learn information.



Confidentiality of your research records will be strictly maintained by assigning unique, confidential identification number codes to your responses. Information not containing identifiers may be used in future research, shared with other researchers, or placed in a data repository without your additional consent.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. Payment will not be sent for incomplete participation. For interviews, questionnaires, or surveys, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Madalina Vlasceanu at vlasceanu@nyu.edu, 6 Washington Place, New York, NY 10003.



For questions about your rights as a research participant, you may contact the Institutional Review Board (IRB), New York University, 665 Broadway, Suite 804, New York, New York, 10012 at (212) 998-4808 or ask.humansubjects@nyu.edu. Please reference the study # (IRB- FY2022-6784) when contacting the IRB.



Clicking below serves as your consent to participate in the study. If you choose not to participate you may simply close this window.",How old are you?,What is your level of education?,What is your gender?,"Research has shown that there is an important link between attitudes and media exposure. Going forward, one of the most important questions researchers are now trying to answer relates to the link between attention and data quality. Specifically, for this question, we simply want to know if you will take the time to read instructions and answer our questions attentively.



To show that you have read the question, please ignore the question below about how often you watch the news and instead simply select ""Other"" as your answer. We don't enjoy asking these questions, but have to in order to ensure data quality. We really appreciate you taking the time to read this!



With this in mind, how often do you watch the news?","In your own words, please describe the content of these images and how they make you feel.

(Character count: 0)","In your own words, please describe the content of these images and how they make you feel.

(Character count: 0)","From 0 (not at all) to 100 (extremely), how serious of a threat is climate change to you?","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:



I support raising carbon taxes on gas/fossil fuels/coal.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:



I support significantly expanding infrastructure for public transportation.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support increasing the number of charging stations for electric vehicles.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support increasing the use of sustainable energy such as wind and solar energy.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support increasing taxes on airline companies to offset carbon emissions.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support protecting forested and land areas.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support investing more in green jobs and businesses.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support introducing laws to keep waterways and oceans clean.","From 0 (not at all) to 100 (very much so), how much do you agree with the following statement:




I support increasing taxes on carbon intense foods (for example meat and dairy).","From 0 (not at all) to 100 (very much so), please drag the slider to 100 to show you're reading these questions.","From 0 (not at all) to 100 (extremely), how likely are you to switch to an electric vehicle?","From 0 (not at all) to 100 (extremely), how likely are you to use green energy in your home?","From 0 (not at all) to 100 (extremely), how likely are you to avoid transatlantic flight?","From 0 (not at all) to 100 (extremely), how likely are you to live car free?",Choose one or more races that you consider yourself to be,What political view best describes you?,What was your total household income before taxes during the past 12 months?,What is your zipcode?,"If applicable, please write any comments or concerns you have about the study you just completed:",climateLink1,climateLink2,climateLink3,climateLink4,c,qual.text.check
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""duration""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID3""}","{""ImportId"":""QID155_TEXT""}","{""ImportId"":""QID159""}","{""ImportId"":""QID154""}","{""ImportId"":""QID478""}","{""ImportId"":""QID444_TEXT""}","{""ImportId"":""QID442_TEXT""}","{""ImportId"":""QID484_1""}","{""ImportId"":""QID328_10""}","{""ImportId"":""QID472_10""}","{""ImportId"":""QID329_10""}","{""ImportId"":""QID330_10""}","{""ImportId"":""QID331_10""}","{""ImportId"":""QID332_10""}","{""ImportId"":""QID333_10""}","{""ImportId"":""QID334_10""}","{""ImportId"":""QID335_10""}","{""ImportId"":""QID515_10""}","{""ImportId"":""QID533_1""}","{""ImportId"":""QID534_1""}","{""ImportId"":""QID535_1""}","{""ImportId"":""QID536_1""}","{""ImportId"":""QID434""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID435""}","{""ImportId"":""QID436_TEXT""}","{""ImportId"":""QID516_TEXT""}","{""ImportId"":""climateLink1""}","{""ImportId"":""climateLink2""}","{""ImportId"":""climateLink3""}","{""ImportId"":""climateLink4""}","{""ImportId"":""c""}",qual.text.check
1/5/24 14:56,1/5/24 15:05,IP Address,520,R_7wvOmWxqgPLk6P3,anonymous,EN,0.800000012,"Yes, I am at least 18 years old and I want to participate",60,Graduate degree,Female,Other,There are s many photos and it’s not clear how all of them relate to the topic. Of the ones that do relates they’re a bit depressing ,"Well they’re clearly depressing, especially the one of the polar bear. It’s really just heartbreaking to be honest. ",100,39,61,100,100,35,100,60,100,39,100,83,83,0,0,White or Caucasian,55,"$100,000-$149,999",95776,None,0,0,0,0,1,1
1/5/24 14:58,1/5/24 15:05,IP Address,412,R_5V20UuQPZ79UPsZ,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",36,College degree,Male,Other,"The content in these images look to be from nature, to protests and a few that are related to memes. They make me feel alert, seeing as they seem to include images of people holding up signs in the middle of a protest.","The content of these images seems to be of maps, and graphs and power point designs. The images make me feel like I'm in a class learning a subject",100,100,100,58,100,100,100,100,100,63,100,75,74,35,40,Other,39,"$50,000-$74,999",90805,,0,0,0,0,1,1
1/5/24 14:59,1/5/24 15:07,IP Address,467,R_1N4H6nbBqAz8f5n,anonymous,EN,0.800000012,"Yes, I am at least 18 years old and I want to participate",64,Some college,Male,Other,boring and not interesting to me. They are not relevent to me. I would not click on any of t hem for more information,they are boring and uninteresting. They do not interest me. they are not revelent to me. i have no interest,81,0,50,100,100,0,100,100,100,0,100,0,50,100,0,White or Caucasian,100,"$50,000-$74,999",18328,,0,0,0,0,1,1
1/5/24 15:02,1/5/24 15:14,IP Address,715,R_3MWMkwvvKOLhy2f,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",75,College degree,Female,Other,"These pictures show pollution going into the air, a super dry area and hands trying to contain life. These images make me very worried, that our planet is in trouble.","These images are showing hiw the planet is getting warmer. If this continues, I feel that life will change dramatically",100,100,100,100,100,92,100,100,100,65,100,100,72,100,100,White or Caucasian,38,"$25,000-$49,999",55407,,0,0,0,0,2,1
1/5/24 15:03,1/5/24 15:08,IP Address,334,R_1V417XexCozuxxm,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",63,College degree,Male,Other,"Dark, not plaeasnt for the most part.very cluttered, difficult to focus on just one image. Needs space between them.","Better layout, images are easier to understand and read. Clean and orderly, how they should be arranged.",90,48,70,100,96,24,100,100,100,29,100,85,88,50,0,White or Caucasian,37,"$100,000-$149,999",34231,Good survey,0,0,0,0,1,1
1/5/24 15:05,1/5/24 15:13,IP Address,452,R_6yGjjlcCrKCRTsB,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",60,High school diploma,Female,Other,"It's showing how the earth is getting hotter and hotter compared to what it used to look like before, the climate damage is really starting to show it's effect ",Showing the earth is getting so hot that if it keeps up we'll destroy the earth and it will revert back to prehistoric ages,100,37,100,88,91,73,100,87,100,50,100,0,50,66,71,White or Caucasian,100,"Less than $25,000",45247,,0,0,0,0,2,1
1/5/24 15:07,1/5/24 15:18,IP Address,700,R_1ELLtOGjDxhLUmK,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",69,Some college,Female,Other,"Also images about climate change, but more difficult to my tell what they represent. The group of prior images are more direct",These are images of the impact of climate change. These are powerful images that will hopefully show that climate change is indeed real!,93,100,100,100,100,78,100,100,96,76,100,76,100,19,100,White or Caucasian,61,"$50,000-$74,999",98107,,0,0,0,0,1,1
1/5/24 15:07,1/5/24 15:17,IP Address,579,R_3wvheq4Kn6AaJH4,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",67,Some college,Male,Other,I see a lot of images of the earth and protestors. I feel taking care of what God created is important but some people take this to the extreme.,Climate change is not as serious as some make it out to be. Some take measures to the extreme without facts to back up what they say.,20,7,55,9,20,17,55,11,56,0,100,1,20,20,0,White or Caucasian,88,"Less than $25,000",30720,none,0,0,0,0,1,1
1/5/24 15:08,1/5/24 15:24,IP Address,998,R_52ugof8ormwTP3j,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",32,College degree,Male,Other,This looks really high quality and definitely looks like a good listening and I like it  and I would like to try tomorrow more,This looks to plain and I do not like how it looks  cause it looks like skillshare listening and boring ,79,86,79,79,4,77,68,82,70,86,8,4,84,77,88,White or Caucasian,77,"$75,000-$99,999",78155,,0,0,0,0,1,1
1/5/24 15:09,1/5/24 15:24,IP Address,931,R_7SCcfUX1FZTpWCC,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",71,College degree,Female,Other,love to see pictures of nature even though some of them are destruction. most of them are beautiful and calming,there is a calmness about them and I feel serene looking at them. the earth is always a mystery and nice to see such beautiful photos,100,100,100,100,100,100,100,100,100,100,100,41,74,62,29,White or Caucasian,30,"$50,000-$74,999",90025,none,0,0,0,0,2,1
1/5/24 15:11,1/5/24 15:17,IP Address,378,R_5mt5lpL0NasAkvf,anonymous,EN,0.8999999761581421,"Yes, I am at least 18 years old and I want to participate",54,High school diploma,Female,Other,Show how the environment is being destroyed and the need or humans to change their ways and help save it.,I look like descriptions of emotions. I think its unique in concept. shows the worlds not perfect. Thats it,100,61,82,100,100,83,100,100,100,100,100,81,100,100,71,White or Caucasian,50,"$25,000-$49,999",36207,,0,0,0,0,2,1
