"",ResponseId,condition,open.1,open.2,ColumnID,Text,Segment,WC,Affect,emotion
1,R_7wvOmWxqgPLk6P3,Low,There are s many photos and it’s not clear how all of them relate to the topic. Of the ones that do relates they’re a bit depressing,"Well they’re clearly depressing, especially the one of the polar bear. It’s really just heartbreaking to be honest.",text,"There are s many photos and it’s not clear how all of them relate to the topic. Of the ones that do relates they’re a bit depressing  Well they’re clearly depressing, especially the one of the polar bear. It’s really just heartbreaking to be honest.",1,45,8.89,6.67
2,R_5V20UuQPZ79UPsZ,Low,"The content in these images look to be from nature, to protests and a few that are related to memes. They make me feel alert, seeing as they seem to include images of people holding up signs in the middle of a protest.","The content of these images seems to be of maps, and graphs and power point designs. The images make me feel like I'm in a class learning a subject",text,"The content in these images look to be from nature, to protests and a few that are related to memes. They make me feel alert, seeing as they seem to include images of people holding up signs in the middle of a protest. The content of these images seems to be of maps, and graphs and power point designs. The images make me feel like I'm in a class learning a subject",1,72,0,0
3,R_1N4H6nbBqAz8f5n,Low,boring and not interesting to me. They are not relevent to me. I would not click on any of t hem for more information,they are boring and uninteresting. They do not interest me. they are not revelent to me. i have no interest,text,boring and not interesting to me. They are not relevent to me. I would not click on any of t hem for more information they are boring and uninteresting. They do not interest me. they are not revelent to me. i have no interest,1,44,11.36,6.82
4,R_3MWMkwvvKOLhy2f,High,"These pictures show pollution going into the air, a super dry area and hands trying to contain life. These images make me very worried, that our planet is in trouble.","These images are showing hiw the planet is getting warmer. If this continues, I feel that life will change dramatically",text,"These pictures show pollution going into the air, a super dry area and hands trying to contain life. These images make me very worried, that our planet is in trouble. These images are showing hiw the planet is getting warmer. If this continues, I feel that life will change dramatically",1,50,6,2
5,R_1V417XexCozuxxm,Low,"Dark, not plaeasnt for the most part.very cluttered, difficult to focus on just one image. Needs space between them.","Better layout, images are easier to understand and read. Clean and orderly, how they should be arranged.",text,"Dark, not plaeasnt for the most part.very cluttered, difficult to focus on just one image. Needs space between them. Better layout, images are easier to understand and read. Clean and orderly, how they should be arranged.",1,37,10.81,0
6,R_6yGjjlcCrKCRTsB,High,"It's showing how the earth is getting hotter and hotter compared to what it used to look like before, the climate damage is really starting to show it's effect",Showing the earth is getting so hot that if it keeps up we'll destroy the earth and it will revert back to prehistoric ages,text,"It's showing how the earth is getting hotter and hotter compared to what it used to look like before, the climate damage is really starting to show it's effect  Showing the earth is getting so hot that if it keeps up we'll destroy the earth and it will revert back to prehistoric ages",1,53,3.77,0
7,R_1ELLtOGjDxhLUmK,Low,"Also images about climate change, but more difficult to my tell what they represent. The group of prior images are more direct",These are images of the impact of climate change. These are powerful images that will hopefully show that climate change is indeed real!,text,"Also images about climate change, but more difficult to my tell what they represent. The group of prior images are more direct These are images of the impact of climate change. These are powerful images that will hopefully show that climate change is indeed real!",1,45,4.44,2.22
8,R_3wvheq4Kn6AaJH4,Low,I see a lot of images of the earth and protestors. I feel taking care of what God created is important but some people take this to the extreme.,Climate change is not as serious as some make it out to be. Some take measures to the extreme without facts to back up what they say.,text,I see a lot of images of the earth and protestors. I feel taking care of what God created is important but some people take this to the extreme. Climate change is not as serious as some make it out to be. Some take measures to the extreme without facts to back up what they say.,1,56,7.14,0
9,R_7SCcfUX1FZTpWCC,High,love to see pictures of nature even though some of them are destruction. most of them are beautiful and calming,there is a calmness about them and I feel serene looking at them. the earth is always a mystery and nice to see such beautiful photos,text,love to see pictures of nature even though some of them are destruction. most of them are beautiful and calming there is a calmness about them and I feel serene looking at them. the earth is always a mystery and nice to see such beautiful photos,1,46,19.57,6.52
10,R_5mt5lpL0NasAkvf,High,Show how the environment is being destroyed and the need or humans to change their ways and help save it.,I look like descriptions of emotions. I think its unique in concept. shows the worlds not perfect. Thats it,text,Show how the environment is being destroyed and the need or humans to change their ways and help save it. I look like descriptions of emotions. I think its unique in concept. shows the worlds not perfect. Thats it,1,39,10.26,2.56
11,R_56TSJI8ta9DG3Tz,High,These images also represent climate change but include drastic consequences as if they might be inevitable. They make me feel angry that many people can't accept that climate change is real.,"The images represent climate change iconically. For example, a human hand holding a globe on fire. They make me feel urgency to act.",text,"These images also represent climate change but include drastic consequences as if they might be inevitable. They make me feel angry that many people can't accept that climate change is real. The images represent climate change iconically. For example, a human hand holding a globe on fire. They make me feel urgency to act.",1,54,3.7,1.85
12,R_5wp00TG2lJoG8Ym,Low,We are polluting the air with factory emissions.  People are starting to protest these emissions so we can have a better life now and for future generations.,The content makes me think of global warming and how it affects the world. It affects wildlife and people in each country.,text,We are polluting the air with factory emissions.  People are starting to protest these emissions so we can have a better life now and for future generations. The content makes me think of global warming and how it affects the world. It affects wildlife and people in each country.,1,49,2.04,0
13,R_61hImeKNpNpaqC5,Low,"To me these seem like random images of different topics and I do not see a connection other than three protests. Sorry, I do not do social media and probably have a disconnect with what is supposed to be happening.","There are images pertaining to global warming, over population, what is happening today, and the future generation",text,"To me these seem like random images of different topics and I do not see a connection other than three protests. Sorry, I do not do social media and probably have a disconnect with what is supposed to be happening. There are images pertaining to global warming, over population, what is happening today, and the future generation",1,57,0,0
14,R_5e2SDDSMO9vHyCA,Low,Various different situations  I feel curious of the content and try to understand what they represent,Different climate issues and facts don't know everything as some were in different languages so couldn't evaluate some stuff,text,Various different situations  I feel curious of the content and try to understand what they represent  Different climate issues and facts don't know everything as some were in different languages so couldn't evaluate some stuff,1,35,0,0
15,R_1k7gH8raEX3WKcE,High,These are images that can be used as wallpapers on Pc...They look inspiring to be honest...it makes you appreciate artist even more,These images shows us or try to explain in my own understanding of how life is like two side of a coin Good and bad,text,These are images that can be used as wallpapers on Pc...They look inspiring to be honest...it makes you appreciate artist even more These images shows us or try to explain in my own understanding of how life is like two side of a coin Good and bad,1,49,8.16,8.16
16,R_6oLUqRrNkhfyoi6,High,"Show some adverse images of nature, specifically very dry landscapes, and effects of industry on nature depicted by smokestacks.  Mixed feelings, landscapes are very dry and smoke from industry is disturbing","Alternate images of the world, nature and animals.  The images are generally soothing and colorful, showing sunrise and sunsets",text,"Show some adverse images of nature, specifically very dry landscapes, and effects of industry on nature depicted by smokestacks.  Mixed feelings, landscapes are very dry and smoke from industry is disturbing  Alternate images of the world, nature and animals.  The images are generally soothing and colorful, showing sunrise and sunsets",1,50,4,0
17,R_3EorqxVNmbSekgg,Low,It makes me feel like there are factories out there who don't care if they are causing pollution but there are people that do care.,It makes me think about climate change and how it is affecting the world and that we all need to take it seriously and do things that can help slow the changes.,text,It makes me feel like there are factories out there who don't care if they are causing pollution but there are people that do care. It makes me think about climate change and how it is affecting the world and that we all need to take it seriously and do things that can help slow the changes.,1,57,3.51,0
18,R_6WxvlZeFjoWsyII,High,The air pollution doesn't make me feel good at all.Love the blue skys.That is all I know.Isee a hand a leave.,Ilove polar bears just hope they can survive .Like most all the images they make me feel good about our country.,text,The air pollution doesn't make me feel good at all.Love the blue skys.That is all I know.Isee a hand a leave. Ilove polar bears just hope they can survive .Like most all the images they make me feel good about our country.,1,45,8.89,8.89
19,R_6foE1G1ADXE62wT,High,"environmental issues, except for one (the outstretched hands).  We need to investigate the sources and take corrective action.","environmental issues. carefully curated pictures to compel action.  some of the photos depict natural/seasonal; changes that have nothing to do with people,",text,"environmental issues, except for one (the outstretched hands).  We need to investigate the sources and take corrective action. environmental issues. carefully curated pictures to compel action.  some of the photos depict natural/seasonal; changes that have nothing to do with people,",1,41,0,0
20,R_6ykEmfGYxnsI5nr,High,"Things happening around the world that can effect climate change, natural disasters weather events done man made problems some created by nature",That climate change is affecting the beauty in the world. This shows some awesome scenery and urs being affected,text,"Things happening around the world that can effect climate change, natural disasters weather events done man made problems some created by nature That climate change is affecting the beauty in the world. This shows some awesome scenery and urs being affected",1,41,2.44,2.44
21,R_7DYy1RS3R4Dc88K,High,"I literally just answered rhis question and I don't want to answer it again. Sorry, not to be disrespectful, just being honest.","By the looks of it the images are talking about global warming and/or climate change, and I don't actually know how to feel other than fearful of or for the future",text,"I literally just answered rhis question and I don't want to answer it again. Sorry, not to be disrespectful, just being honest. By the looks of it the images are talking about global warming and/or climate change, and I don't actually know how to feel other than fearful of or for the future",1,54,5.56,1.85
22,R_5qUw16sX2ribWGa,Low,"All these pictures represent some subject related to climate change. They also represent people who are marching, or at least joining together to say something about climate change in my senses. It’s to march for increased climate needs recognition. Some of the charts are too blurry for me to read, and respect it is a hopeful sense I feel because I recognize that people all over the world are wanting to affect climate change so we can save the planet and each other ultimately.",I primarily feel confused because I don’t recognize or can read the language in which some of these pictures are located. The one about the average temperature is a frightening view that substantiates our thoughts about global warming. Ultimately these pictures make me uncomfortable.,text,"All these pictures represent some subject related to climate change. They also represent people who are marching, or at least joining together to say something about climate change in my senses. It’s to march for increased climate needs recognition. Some of the charts are too blurry for me to read, and respect it is a hopeful sense I feel because I recognize that people all over the world are wanting to affect climate change so we can save the planet and each other ultimately.  I primarily feel confused because I don’t recognize or can read the language in which some of these pictures are located. The one about the average temperature is a frightening view that substantiates our thoughts about global warming. Ultimately these pictures make me uncomfortable.",1,128,5.47,3.13
23,R_53viNbiuVVNJko1,Low,"These images portrayed people, and sometimes images that show activity that is unsettling. I tend to ignore those.","These images portray, various aspects of our world and nature. I like the vibrant colors and graphics.",text,"These images portrayed people, and sometimes images that show activity that is unsettling. I tend to ignore those. These images portray, various aspects of our world and nature. I like the vibrant colors and graphics.",1,35,2.86,2.86
24,R_1PrdRAHx4C9z2Kt,High,I’m more affected by these images especially the very dry cracked soil and the smoke stacks which are very worrisome with all that pollution,I’m neutral on the images as they are trying to show both sides of climate change but are done in a very abstract way,text,I’m more affected by these images especially the very dry cracked soil and the smoke stacks which are very worrisome with all that pollution  I’m neutral on the images as they are trying to show both sides of climate change but are done in a very abstract way,1,48,2.08,2.08
25,R_6PLx1FShVx09WvD,Low,I don't really understand what the pictures are trying to show me. I don't see a common theme with them and some of them I don't know what they are,I don't really understand another of the pictures as they are in  a foreign language. I am seeing pictures of the earth and maps and a chart showing how the annual temperature is rising,text,I don't really understand what the pictures are trying to show me. I don't see a common theme with them and some of them I don't know what they are I don't really understand another of the pictures as they are in  a foreign language. I am seeing pictures of the earth and maps and a chart showing how the annual temperature is rising,1,64,0,0
26,R_6KCKvxjFSuEsD7u,Low,I don't really see much of a link between the images and they don't personally make me feel any way when looking at them,"So, I feel more connection to these pictures and would spend more time with these as I love stats and graphs for informational purposes",text,"I don't really see much of a link between the images and they don't personally make me feel any way when looking at them So, I feel more connection to these pictures and would spend more time with these as I love stats and graphs for informational purposes",1,48,2.08,2.08
27,R_6l5oWKor7MuE1r7,Low,They are showing coming together and changes that are happening. It makes me feel we are doing something but not enough.,It shows how things are quickly getting worse and it makes me sad more isn't being done . It shows the effects of the areas it's impacted,text,They are showing coming together and changes that are happening. It makes me feel we are doing something but not enough. It shows how things are quickly getting worse and it makes me sad more isn't being done . It shows the effects of the areas it's impacted,1,47,4.26,2.13
28,R_3TYoZObytX4PDcU,High,These images show the world in danger. Makes worried and sad. I want the planet to be rescued for the future generations.,Sad to see the earth with global warming They pretty images but they stand for our planet in terrible danger.,text,These images show the world in danger. Makes worried and sad. I want the planet to be rescued for the future generations.  Sad to see the earth with global warming They pretty images but they stand for our planet in terrible danger.,1,42,16.67,9.52
29,R_58ONKVMCddoCWOL,High,Universal  Google  photos  on line at best really dont know for sure but looks like Google  photos. Of landscape  and definitions,Natural  i really don't have any feelings  towards  them there nice pictures.  Still looks like Google  photos,text,Universal  Google  photos  on line at best really dont know for sure but looks like Google  photos. Of landscape  and definitions  Natural  i really don't have any feelings  towards  them there nice pictures.  Still looks like Google  photos,1,38,2.63,0
